StoreId,Mean of Rows Added,Mean of Total Rows,Mean of Uploaded Files Count,Variance of Rows Added,Variance of Total Rows,Variance of Uploaded Files Count,Standard Deviation of Rows Added,Standard Deviation of Total Rows,Standard Deviation of Uploaded Files Count
4,1672.037037037037,4887.259259259259,28.703703703703702,9907352.037037041,10627702.584045585,641.6780626780627,3147.5946430627055,3260.015733711355,25.33136519570279
5,1937.9259259259259,4359.592592592592,28.703703703703702,5180670.071225071,1473427.2507122506,641.6780626780627,2276.108536784894,1213.8481168219732,25.33136519570279
6,504.0740740740741,1230.6666666666667,28.703703703703702,1160998.9173789178,1317656.307692308,641.6780626780627,1077.4965973862368,1147.8921150057213,25.33136519570279
7,15585.0,21229.666666666668,37.111111111111114,315347776.61538464,231446666.3846153,875.2564102564106,17758.034142758726,15213.371302397614,29.584732722409555
8,702.2222222222222,1859.0740740740741,16.296296296296298,508315.17948717944,895257.6096866098,327.29344729344723,712.9622567059068,946.1805375754724,18.09125333672179
9,1544.4444444444443,3287.4444444444443,0.6666666666666666,6250617.025641026,4961000.102564102,0.2307692307692308,2500.1234020825905,2227.3302634688243,0.4803844614152614
10,4477.518518518518,8045.0,3.6296296296296298,36526249.95156695,22114929.153846152,29.472934472934444,6043.6950577909665,4702.651289841312,5.428898090122382
11,5975.962962962963,10306.555555555555,18.703703703703702,34378512.65242166,10083466.256410256,118.29344729344729,5863.319252131992,3175.447410430577,10.876279110681525
12,6136.037037037037,10088.592592592593,27.59259259259259,76492931.96011397,59935635.635327615,411.8660968660969,8746.023779987909,7741.810875714261,20.29448439517735
13,0.0,8022.333333333333,0.2222222222222222,0.0,33454962.230769243,0.17948717948717957,0.0,5784.026472170511,0.4236592728681618
15,5151.888888888889,9109.962962962964,58.592592592592595,85428907.94871794,75650699.96011396,2010.481481481482,9242.775987154397,8697.741083759274,44.838392940442034
16,3789.037037037037,7918.444444444444,42.2962962962963,25913601.806267805,24121500.7948718,995.7549857549857,5090.540423792724,4911.364453476427,31.55558565064172
17,3231.037037037037,6299.925925925926,25.555555555555557,37798049.96011397,35280316.609686606,435.8717948717948,6148.01187052481,5939.723613913918,20.877542836066574
